DATA_SOURCE_CODE|DATA_SOURCE_IDENTIFIER|EMAIL_ADDRESS|SOURCE_NAME|CREDATE
ARS|ARS100|irdsupport@niaidceirs.org|National Animal Disease Center-CEIRS2 |
ARS|ARS200|irdsupport@niaidceirs.org|United States Department of Agriculture, Agricultural Research Service|1-Dec-22
ATL|ATL022|irdsupport@niaidceirs.org|Emory University-CEIRS1|29-Apr-10
ATL|ATL023|irdsupport@niaidceirs.org|University of Georgia-CEIRS1|18-Jan-10
ATL|ATL024|irdsupport@niaidceirs.org|University of Florida-CEIRS1|19-Nov-09
ATL|ATL025|irdsupport@niaidceirs.org|National Taiwan University-CEIRS1|29-Apr-10
ATL|ATL100|irdsupport@niaidceirs.org|Emory University-CEIRS2|
ATL|ATL101|irdsupport@niaidceirs.org|University of Georgia-CEIRS2|
ATL|ATL102|irdsupport@niaidceirs.org|Harbin Veterinary Research Institute-CEIRS2|
ATL|ATL103|irdsupport@niaidceirs.org|Georgia State University-CEIRS2|
ATL|ATL200|irdsupport@niaidceirs.org|Emory University|1-Dec-22
ATL|ATL210|irdsupport@niaidceirs.org|Center for Family Health Research Zambia (CFHR-Z) (Lusaka)|1-Dec-22
ATL|ATL211|irdsupport@niaidceirs.org|Center for Family Health Research Zambia (CFHR-Z) (Ndola)|1-Dec-22
ATL|ATL212|irdsupport@niaidceirs.org|Pennsylvania State University|1-Dec-22
BIT|BIT001|irdsupport@niaidceirs.org|BROAD INSTITUTE|8-Jun-12
BIT|BIT002|irdsupport@niaidceirs.org|University of Massachusetts Medical School, Center for Infectious Disease and Vaccine Research, Worcester, MA|11-Jun-12
BIT|BIT003|irdsupport@niaidceirs.org|Virology Unit, Institut Pasteur in Cambodia, Ohnom Penh, Cambodia|11-Jun-12
BIT|BIT004|irdsupport@niaidceirs.org|Division of Infectious Diseases, School of Public Health, University of California, Berkeley, CA|11-Jun-12
BIT|BIT005|irdsupport@niaidceirs.org|Centers for Disease Control and Prevention, Division of Vector-Borne Infectious Disease, San Juan, PR|11-Jun-12
BIT|BIT006|irdsupport@niaidceirs.org|Oxford University Clinical Research Unit, Hospital for Tropical Diseases, Ho Chi Minh City, VietNam|11-Jun-12
BIT|BIT007|irdsupport@niaidceirs.org|Dept. of Microbiology, Harvard Medical School, Boston, MA|11-Jun-12
