#Host Common Name|Host Species|Order|Family|Genus|Species|ITIS Number|Species Type
common redpoll|Acanthis flammea|Passeriformes|Fringillidae|Acanthis|flammea|179241|Avian
Arctic redpoll|Acanthis hornemanni|Passeriformes|Fringillidae|Acanthis|hornemanni|179238|Avian
shikra|Accipiter badius|Accipitriformes|Accipitridae|Accipiter|badius|558390|Avian
levant sparrowhawk|Accipiter brevipes|Accipitriformes|Accipitridae|Accipiter|brevipes|175312|Avian
chestnut-flanked sparrowhawk|Accipiter castanilius|Accipitriformes|Accipitridae|Accipiter|castanilius|175314|Avian
Cooper's hawk|Accipiter cooperii|Accipitriformes|Accipitridae|Accipiter|cooperii|175309|Avian
northern goshawk|Accipiter gentilis|Accipitriformes|Accipitridae|Accipiter|gentilis|175300|Avian
Japanese sparrowhawk|Accipiter gularis|Accipitriformes|Accipitridae|Accipiter|gularis|175322|Avian
Eurasian sparrowhawk|Accipiter nisus|Accipitriformes|Accipitridae|Accipiter|nisus|175333|Avian
sharp-shinned hawk|Accipiter striatus|Accipitriformes|Accipitridae|Accipiter|striatus|175304|Avian
African goshawk|Accipiter tachiro|Accipitriformes|Accipitridae|Accipiter|tachiro|175344|Avian
crested goshawk|Accipiter trivirgatus|Accipitriformes|Accipitridae|Accipiter|trivirgatus|175347|Avian
hawk|Accipitridae|Accipitriformes|Accipitridae|Unknown|Unknown|175280|Avian
cheetah|Acinonyx jubatus|Carnivora|Felidae|Acinonyx|jubatus|183813|Non-human Mammal
golden spiny mouse|Acomys russatus|Rodentia|Muridae|Acomys|russatus|585109|Non-human Mammal
crested myna|Acridotheres cristatellus|Passeriformes|Sturnidae|Acridotheres|cristatellus|179642|Avian
great myna|Acridotheres grandis|Passeriformes|Sturnidae|Acridotheres|grandis|558403|Avian
common myna|Acridotheres tristis|Passeriformes|Sturnidae|Acridotheres|tristis|554025|Avian
paddyfield warbler|Acrocephalus agricola|Passeriformes|Acrocephalidae|Acrocephalus|agricola|558407|Avian
great reed warbler|Acrocephalus arundinaceus|Passeriformes|Acrocephalidae|Acrocephalus|arundinaceus|558408|Avian
black-browed reed-warbler|Acrocephalus bistrigiceps|Passeriformes|Acrocephalidae|Acrocephalus|bistrigiceps|558412|Avian
moustached warbler|Acrocephalus melanopogon|Passeriformes|Acrocephalidae|Acrocephalus|melanopogon|558420|Avian
Oriental reed-warbler|Acrocephalus orientalis|Passeriformes|Acrocephalidae|Acrocephalus|orientalis|916777|Avian
greater swamp-warbler|Acrocephalus rufescens|Passeriformes|Sylvioidae|Acrocephalus|rufescens|558427|Avian
sedge warbler|Acrocephalus schoenobaenus|Passeriformes|Sylvioidae|Acrocephalus|schoenobaenus|558428|Avian
Eurasian reed-warbler|Acrocephalus scirpaceus|Passeriformes|Sylvioidae|Acrocephalus|scirpaceus|558429|Avian
reed-warbler|Acrocephalus sp.|Passeriformes|Acrocephalidae|Acrocephalus|Unknown|178667|Avian
clamorous reed warbler|Acrocephalus stentoreus|Passeriformes|Acrocephalidae|Acrocephalus|stentoreus|558431|Avian
common sandpiper|Actitis hypoleucos|Charadriiformes|Scolopacidae|Actitis|hypoleucos|176613|Avian
spotted sandpiper|Actitis macularius|Charadriiformes|Scolopacidae|Actitis|macularius|726049|Avian
African jacana|Actophilornis africanus|Charadriiformes|Jacanidae|Actophilornis|africanus|176454|Avian
western grebe|Aechmophorus occidentalis|Podicipediformes|Podicipedidae|Aechmophorus|occidentalis|174503|Avian
common iora|Aegithina tiphia|Passeriformes|Aegithinidae|Aegithina|tiphia|558449|Avian
northern saw-whet owl|Aegolius acadicus|Strigiformes|Strigidae|Aegolius|acadicus|177942|Avian
crested auklet|Aethia cristatella|Charadriiformes|Alcidae|Aethia|cristatella|177019|Avian
least auklet|Aethia pusilla|Charadriiformes|Alcidae|Aethia|pusilla|177020|Avian
fork-tailed sunbird|Aethopyga christinae|Passeriformes|Nectariniidae|Aethopyga|christinae|558453|Avian
crimson sunbird|Aethopyga siparaja|Passeriformes|Nectariniidae|Aethopyga|siparaja|558466|Avian
lovebird|Agapornis sp.|Psittaciformes|Psittacidae|Agapornis|Unknown|177619|Avian
baywing|Agelaioides badius|Passeriformes|Icteridae|Agelaioides|badius|729210|Avian
red-winged blackbird|Agelaius phoeniceus|Passeriformes|Icteridae|Agelaius|phoeniceus|179045|Avian
Daurian starling|Agropsar sturninus|Passeriformes|Sturnidae|Agropsar|sturninus|915880|Avian
red panda|Ailurus fulgens|Carnivora|Ailuridae|Ailurus|fulgens|621846|Non-human Mammal
Mandarin duck|Aix galericulata|Anseriformes|Anatidae|Aix|galericulata|175123|Avian
wood duck|Aix sponsa|Anseriformes|Anatidae|Aix|sponsa|175122|Avian
sky lark|Alauda arvensis|Passeriformes|Alaudidae|Alauda|arvensis|178398|Avian
razorbill|Alca torda|Charadriiformes|Alcidae|Alca|torda|176971|Avian
kingfisher|Alcedinidae|Coraciiformes|Alcedinidae|Unknown|Unknown|178104|Avian
common kingfisher|Alcedo atthis|Coraciiformes|Alcedinidae|Alcedo|atthis|554549|Avian
malachite kingfisher|Alcedo cristata|Coraciiformes|Alcedinidae|Alcedo|cristata|554558|Avian
white-bellied kingfisher|Alcedo leucogaster|Coraciiformes|Alcedinidae|Alcedo|leucogaster|554562|Avian
blue-eared kingfisher|Alcedo meninting|Coraciiformes|Alcedinidae|Alcedo|meninting|554552|Avian
shining-blue kingfisher|Alcedo quadribrachys|Coraciiformes|Alcedinidae|Alcedo|quadribrachys|554551|Avian
gray-cheeked fulvetta|Alcippe morrisonia|Passeriformes|Pellorneidae|Alcippe|morrisonia|558504|Avian
chukar|Alectoris chukar|Galliformes|Phasianidae|Alectoris|chukar|175908|Avian
chukar partridge|Alectoris chukar|Galliformes|Phasianidae|Alectoris|chukar|175908|Avian
red-legged partridge|Alectoris rufa|Galliformes|Phasianidae|Alectoris|rufa|175913|Avian
fire-crested alethe|Alethe castanea|Passeriformes|Turdidae|Alethe|castanea|558520|Avian
white-tailed alethe|Alethe diademata|Passeriformes|Turdidae|Alethe|diademata|558520|Avian
dovekie|Alle alle|Charadriiformes|Alcidae|Alle|alle|176982|Avian
puff-throated bulbul|Alophoixus pallidus|Passeriformes|Pycnonotidae|Alophoixus|pallidus|558529|Avian
bulbul|Alophoixus sp.|Passeriformes|Pycnonotidae|Alophoixus|Unknown|558530|Avian
Egyptian goose|Alopochen aegyptiaca|Anseriformes|Anatidae|Alopochen|aegyptiaca|175214|Avian
red avadavat|Amandava amandava|Passeriformes|Estrildidae|Amandava|amandava|179606|Avian
zebra waxbill|Amandava subflava|Passeriformes|Estrildidae|Amandava|subflava|558536|Avian
black crake|Amaurornis flavirostra|Gruiformes|Rallidae|Amaurornis|flavirostra|558539|Avian
white-breasted waterhen|Amaurornis phoenicurus|Gruiformes|Rallidae|Amaurornis|phoenicurus|176385|Avian
blue-fronted parrot|Amazona aestiva|Psittaciformes|Psittacidae|Amazona|aestiva|177783|Avian
orange-winged parrot|Amazona amazonica|Psittaciformes|Psittacidae|Amazona|amazonica|177786|Avian
