#category,surv_fields,solr_schema,attribute,array(Y/N)
Sample Info,Study_Identifier,project_identifier,,N
,Contributing_Institution,contributing_institution,,N
,BVBRC_Accession_ID,sample_accession,,N
,Sample_Identifier,sample_identifier,,N
,Sample_Material,sample_material,,N
,Sample_Receipt_Date,sample_receipt_date,,N
,Sample_Transport_Medium,sample_transport_medium,,N
,Longitudinal_Study,longitudinal_study,,N
,Embargo_End_Date,embargo_end_date,,N
Sample Collection,Collector_Name,collector_name,,Y
,Collection_Date,collection_date,,N
,collection_year,collection_year,,N
,Collection_Season,collection_season,,N
,Days_Elapsed_to_Sample_Collection,days_elapsed_to_sample_collection,,N
,Collection_Country,collection_country,,N
,Collection_State_Province,collection_state_province,,N
,Collection_City,collection_city,,N
,Collection_POI,collection_poi,,N
,Collection_Latitude,collection_latitude,,N
,Collection_Longitude,collection_longitude,,N
,collector_institution,collector_institution,,N
,contact_email_address,contact_email_address,,N
Sample Tests,Influenza_Test_Type,pathogen_test_type,,Y
,Other_Pathogens_Tested,additional_metadata,Other_Pathogens_Tested,Y
,SARS-CoV-2_Test_Type,pathogen_test_type,,Y
,Influenza_Test_Result,pathogen_test_result,,Y
,Other_Pathogen_Test_Result,additional_metadata,Other_Pathogen_Test_Result,Y
,SARS-CoV-2_Test_Result,pathogen_test_result,,Y
,Influenza_Test_Interpretation,pathogen_test_interpretation,,Y
,SARS-CoV-2_Test_Interpretation,pathogen_test_interpretation,,Y
,species,species,,N
,Strain_Name,strain,,N
,Influenza_Type,pathogen_type,,N
,Genbank_Accession_Numbers,sequence_accession,,Y
,Influenza_Subtype,subtype,,N
Host Info,Subject_Identifier,host_identifier,,N
,Host_Identifier,host_identifier,,N
,Host_ID_Type,host_id_type,,N
,Host_Species,host_species,,N
,Host_Common_Name,host_common_name,,N
,Host_Group,host_group,,N
,Host_Sex,host_sex,,N
,Subject_Gender,host_sex,,N
,Host_Age,host_age,,N
,Subject_Age,host_age,,N
,Subject_Height,host_height,,N
,Subject_Weight,host_weight,,N
,Host_Habitat,host_habitat,,N
,Host_Capture_Status,host_capture_status,,N
,Host_Natural_State,host_natural_state,,N
,Host_Health,host_health,,N
,Subject_Ethnicity,host_ethnicity,,Y
,Subject_Race,host_race,,Y
Environmental Exposure,COVID_Human_Exposure,exposure,COVID,Y
,Human_Exposure,exposure,Human,Y
,Poultry_Exposure,exposure,Poultry,Y
,Swine_Exposure,exposure,Swine,Y
,Wild_Bird_Exposure,exposure,Wild_Bird,Y
,Duration_of_COVID_Human_Exposure,duration_of_exposure,COVID,Y
,Duration_of_Human_Exposure,duration_of_exposure,Human,Y
,Duration_of_Poultry_Exposure,duration_of_exposure,Poultry,Y
,Duration_of_Swine_Exposure,duration_of_exposure,Swine,Y
,Duration_of_Wild_Bird_Exposure,duration_of_exposure,Wild_Bird,Y
,Type_Exposure,exposure_type,,N
,Use_of_Personal_Protective_Equipment,use_of_personal_protective_equipment,,N
,Primary_Living_Situation,primary_living_situation,,N
,Nursing_Home_Residence,nursing_home_residence,,N
,Daycare_Attendance,daycare_attendance,,N
,Travel_History,travel_history,,N
,Profession,profession,,N
,Education,education,,N
Clinical Data,Pregnancy,pregnancy,,N
